Name,Media,URL
SynCron: Efficient Synchronization Support for Near-Data-Processing Architectures,Resources%20%20e4f94/SynCron-synchronization-for-near-data-processing-systems_hpca21.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
A Modern Primer on Processing in Memory,Resources%20%20e4f94/ModernPrimerOnPIM_springer-emerging-computing-bookchapter21.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Flipping Bits in Memory Without Accessing Them: An Experimental Study of DRAM Disturbance Errors,Resources%20%20e4f94/dram-row-hammer_isca14.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Rowhammer.js: A Remote Software-Induced Fault Attack in JavaScript,Resources%20%20e4f94/1507.06955v1.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Drammer: Deterministic Rowhammer Attacks on Mobile Platforms,Resources%20%20e4f94/drammer.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Grand Pwning Unit: Accelerating Microarchitectural Attacks with the GPU,Resources%20%20e4f94/glitch.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Throwhammer: Rowhammer Attacks over the Network and Defenses,Resources%20%20e4f94/atc18-tatar.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Nethammer: Inducing Rowhammer Faults through Network Requests,Resources%20%20e4f94/1805.04956.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
RAMBleed: Reading Bits in Memory Without Accessing Them,Resources%20%20e4f94/20190603-rambleed-web.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
Terminal Brain Damage: Exposing the Graceless Degradation in Deep Neural Networks Under Hardware Fault Attacks,Resources%20%20e4f94/sec19-hong-2.pdf,https://safari.ethz.ch/digitaltechnik/spring2021/doku.php?id=readings
